Altium Designer Pick and Place Locations
D:\LAB209B3\SpaceLiinTech_Eletroporator\DuAn_HighVoltage_Controller_V3\01_DESIGN\Project Outputs for DuAn_HighVoltage_V3\Pick Place for DuAn_HighVoltage_PCB_V3.0(Variant of DuAn_HighVoltage_V3).csv

========================================================================================================================
File Design Information:

Date:       12/04/26
Time:       23:25
Revision:   d97d30798e16fee276ec3f221d6a50c865f4a0a1
Variant:    Variant of DuAn_HighVoltage_V3
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"R106","10k/1%","BottomLayer","RES-SMD-0603","9.8939","-29.2333","0","RES SMD 10K OHM 1% 1/10W 0603"
"R104","22R/1%","BottomLayer","RES-SMD-0603","9.8939","-26.0031","180","RES SMD 22 OHM 1% 1/10W 0603"
"R103","22R/1%","BottomLayer","RES-SMD-0603","22.0620","-24.3579","0","RES SMD 22 OHM 1% 1/10W 0603"
"R102","22R/1%","BottomLayer","RES-SMD-0603","22.0620","-26.2560","0","RES SMD 22 OHM 1% 1/10W 0603"
"R101","22R/1%","BottomLayer","RES-SMD-0603","9.8939","-27.6182","180","RES SMD 22 OHM 1% 1/10W 0603"
"R98","10k/1%","BottomLayer","RES-SMD-0603","9.8939","-24.3880","0","RES SMD 10K OHM 1% 1/10W 0603"
"R97B","5.1k/1%","BottomLayer","RES-SMD-0603","-22.7965","-19.9793","0","RES SMD 5.1K OHM 1% 1/10W 0603"
"R97A","5.1k/1%","TopLayer","RES-SMD-0603","35.1628","31.3478","180","RES SMD 5.1K OHM 1% 1/10W 0603"
"C37","100nF/25V","BottomLayer","CN-SMD-0603","22.0620","-28.1541","0","CAP CER 0.1UF 25V X7R 0603"
"U4","MB85RS2MTAPNF-G-BDERE1","BottomLayer","SOIC127P602X173-8N","16.4116","-26.3800","0","IC FRAM 2MBIT SPI 40MHZ 8SOP"
"D5B","1N5819W","TopLayer","DIO-SMD-123","45.7284","-24.9190","0","DIODE SCHOTTKY 40V 1A SOD123FL"
"D5A","1N5819W","TopLayer","DIO-SMD-123","49.1220","-29.6344","270","DIODE SCHOTTKY 40V 1A SOD123FL"
"Q6B","MMBT2222A","BottomLayer","SOT23-132","-22.7877","-22.7441","0","TRANS NPN 40V 0.6A SOT-23"
"Q6A","MMBT2222A","TopLayer","SOT23-132","35.2577","28.3658","180","TRANS NPN 40V 0.6A SOT-23"
"C36","100uF/20V","BottomLayer","Tantalum_2917","-39.6530","-39.2434","90","CAP TANT 100UF 10% 20V 2917"
"R49","22R/1%","BottomLayer","RES-SMD-0603","-6.4940","-30.1180","270","RES SMD 22 OHM 1% 1/10W 0603"
"R48","22R/1%","BottomLayer","RES-SMD-0603","-4.8240","-30.1180","270","RES SMD 22 OHM 1% 1/10W 0603"
"U15","OPA340NA/250","TopLayer","SOT23-5","-3.2420","17.4325","0","IC OPAMP GP 1 CIRCUIT SOT23-5"
"U14","OPA340NA/250","TopLayer","SOT23-5","-3.2420","23.6385","0","IC OPAMP GP 1 CIRCUIT SOT23-5"
"R58","3.3k/1%","TopLayer","RES-SMD-0603","-8.2610","15.5800","270","RES SMD 3K3 OHM 0.1% 1/10W 0603"
"R57","470R/1%","TopLayer","RES-SMD-0603","-3.1300","14.7300","0","RES 470 OHM 1% 1/10W 0603"
"R56","10K/1%","TopLayer","RES-SMD-0603","-7.4370","18.3800","180","RES SMD 10K OHM 1% 1/10W 0603"
"R54","2k/1%","TopLayer","RES-SMD-0603","-8.3710","21.8640","270","RES SMD 2K OHM 1% 1/10W 0603"
"R53","470R/1%","TopLayer","RES-SMD-0603","-3.1300","21.0160","0","RES 470 OHM 1% 1/10W 0603"
"R52","10K/1%","TopLayer","RES-SMD-0603","-7.5308","24.5510","180","RES SMD 10K OHM 1% 1/10W 0603"
"C85","100nF/25V","TopLayer","CN-SMD-0603","-6.6380","15.5799","270","CAP CER 0.1UF 25V X7R 0603"
"C82","100nF/25V","TopLayer","CN-SMD-0603","-6.7060","21.8339","270","CAP CER 0.1UF 25V X7R 0603"
"R95","10k/1%","TopLayer","RES-SMD-0603","9.0000","-3.1100","180","RES SMD 10K OHM 1% 1/10W 0603"
"R94","10k/1%","TopLayer","RES-SMD-0603","9.0100","-1.4032","180","RES SMD 10K OHM 1% 1/10W 0603"
"U26","LSM6DSOX","TopLayer","LSM6DSOX","4.8400","-1.5950","90","INEMO INERTIAL MODULE: 3D ACCELE"
"R100","22R/1%","TopLayer","RES-SMD-0603","12.0000","-15.5950","180","RES SMD 22 OHM 1% 1/10W 0603"
"R99","22R/1%","TopLayer","RES-SMD-0603","-8.3000","-18.8140","0","RES SMD 22 OHM 1% 1/10W 0603"
"R96","10k/1%","TopLayer","RES-SMD-0603","2.0480","-1.0130","270","RES SMD 10K OHM 1% 1/10W 0603"
"C145","100nF/25V","BottomLayer","CN-SMD-0603","4.6001","-2.1440","0","CAP CER 0.1UF 25V X7R 0603"
"C144","100nF/25V","BottomLayer","CN-SMD-0603","4.6001","-0.4310","0","CAP CER 0.1UF 25V X7R 0603"
"C143","100uF/20V","TopLayer","Tantalum_2917","24.4000","-4.5970","0","CAP TANT 100UF 10% 20V 2917"
"C142","100uF/20V","TopLayer","Tantalum_2917","-34.6000","4.5720","0","CAP TANT 100UF 10% 20V 2917"
"R93","22R/1%","TopLayer","RES-SMD-0603","25.2708","-34.1650","180","RES SMD 22 OHM 1% 1/10W 0603"
"R92","22R/1%","TopLayer","RES-SMD-0603","22.2088","-34.1650","180","RES SMD 22 OHM 1% 1/10W 0603"
"U25","ADUM1201","TopLayer","SO8","31.4063","-28.3650","270","DGTL ISOLTR 2.5KV 2CH GP 8-SOIC"
"R91","22R/1%","TopLayer","RES-SMD-0603","29.5013","-22.3000","90","RES SMD 22 OHM 1% 1/10W 0603"
"R90","22R/1%","TopLayer","RES-SMD-0603","31.4063","-22.3000","90","RES SMD 22 OHM 1% 1/10W 0603"
"J16","Header4","BottomLayer","XH2.54-4-DIP","27.8147","-38.2000","0","Connector 4"
"C141","100nF/25V","TopLayer","CN-SMD-0603","33.3113","-22.3001","270","CAP CER 0.1UF 25V X7R 0603"
"C140","100nF/25V","TopLayer","CN-SMD-0603","31.3888","-34.1650","180","CAP CER 0.1UF 25V X7R 0603"
"R89","10k/1%","TopLayer","RES-SMD-0603","11.0366","50.3330","90","RES SMD 10K OHM 1% 1/10W 0603"
"R88","10k/1%","TopLayer","RES-SMD-0603","9.2706","50.3330","270","RES SMD 10K OHM 1% 1/10W 0603"
"R87","10k/1%","TopLayer","RES-SMD-0603","14.6524","46.6580","270","RES SMD 10K OHM 1% 1/10W 0603"
"R86","10k/1%","TopLayer","RES-SMD-0603","12.8676","46.6600","90","RES SMD 10K OHM 1% 1/10W 0603"
"Q17","AO3400","TopLayer","SOT23-123","13.8744","50.1001","270","MOSFET N-CH 30V 5.7A SOT23-3L"
"Q16","AO3401","TopLayer","SOT23-123","9.9882","46.7459","90","P-MOS 30V 4A"
"JP9","JUMP2","TopLayer","Jump2","17.2520","48.1760","270",""
"U21","ADUM1250","TopLayer","SO8","5.8206","41.6650","180","DGTL ISOLTR 2.5KV 2CH I2C 8-SOIC"
"R176","5.1k/1%","TopLayer","RES-SMD-0603","-0.3520","44.0198","0","RES SMD 5.1K OHM 1% 1/10W 0603"
"R175","5.1k/1%","TopLayer","RES-SMD-0603","-0.3520","42.3538","0","RES SMD 5.1K OHM 1% 1/10W 0603"
"R174","5.1k/1%","TopLayer","RES-SMD-0603","12.2930","42.3560","180","RES SMD 5.1K OHM 1% 1/10W 0603"
"R173","5.1k/1%","TopLayer","RES-SMD-0603","12.2930","43.9860","180","RES SMD 5.1K OHM 1% 1/10W 0603"
"LED3","LED","TopLayer","LED-0603-RED","-16.3950","56.5780","0","LED RED CLEAR 0603 SMD"
"LED2","LED","TopLayer","LED-0603-RED","-16.3950","54.2750","0","LED RED CLEAR 0603 SMD"
"JP8","JP3x2","TopLayer","JP3-C2T","23.3296","-47.8710","270","CONN RCPT 6POS 0.1 GOLD PCB"
"J14","Header4","BottomLayer","XH2.54-4-DIP","-16.3000","-0.4600","90","Connector 4"
"D10","1N4148","TopLayer","DIO-SMD-323","0.6430","51.9820","0","DIODE STANDARD 100V 150MA SOD323"
"D9","1N4148","TopLayer","DIO-SMD-323","0.6740","49.6570","0","DIODE STANDARD 100V 150MA SOD323"
"D8","SK34A","TopLayer","DIO-SMD-A","-14.7510","-53.0420","270","DIODE SCHOTTKY 40V 3A DO214AC"
"C134","100nF/25V","TopLayer","CN-SMD-0603","5.7956","50.3331","90","CAP CER 0.1UF 25V X7R 0603"
"C133","100nF/25V","TopLayer","CN-SMD-0603","2.9198","45.7689","0","CAP CER 0.1UF 25V X7R 0603"
"C132","470uF/10V","TopLayer","Tantalum_2917","-10.1860","-53.5370","270","CAP TANT 470UF 10% 10V 2917"
"C131","100uF/20V","TopLayer","Tantalum_2917","-11.2210","-31.3580","0","CAP TANT 100UF 10% 20V 2917"
"C111","100nF/25V","TopLayer","CN-SMD-0603","12.2931","39.0620","0","CAP CER 0.1UF 25V X7R 0603"
"C110","100nF/25V","TopLayer","CN-SMD-0603","12.2931","40.7000","0","CAP CER 0.1UF 25V X7R 0603"
"C109","100nF/25V","TopLayer","CN-SMD-0603","-0.3521","39.0110","180","CAP CER 0.1UF 25V X7R 0603"
"C108","100nF/25V","TopLayer","CN-SMD-0603","-0.3521","40.6910","180","CAP CER 0.1UF 25V X7R 0603"
"R206","10K/1%","TopLayer","RES-SMD-0603","0.4133","-7.6000","90","RES SMD 10K OHM 1% 1/10W 0603"
"R31","1K/1%","BottomLayer","RES-SMD-0603","11.3500","-14.0160","0","RES SMD 1K OHM 1% 1/10W 0603"
"JP7","JUMP2","TopLayer","Jump2","-4.7753","38.7690","180",""
"C130","100nF/25V","TopLayer","CN-SMD-0603","5.1303","-25.9791","270","CAP CER 0.1UF 25V X7R 0603"
"C129","100nF/25V","BottomLayer","CN-SMD-0603","-4.2001","-19.5250","180","CAP CER 0.1UF 25V X7R 0603"
"C128","100nF/25V","BottomLayer","CN-SMD-0603","-4.1999","-14.9418","0","CAP CER 0.1UF 25V X7R 0603"
"C127","100nF/25V","BottomLayer","CN-SMD-0603","-1.7305","-7.5808","90","CAP CER 0.1UF 25V X7R 0603"
"C126","100nF/25V","BottomLayer","CN-SMD-0603","11.3501","-10.8583","0","CAP CER 0.1UF 25V X7R 0603"
"C125","100nF/25V","TopLayer","CN-SMD-0603","-1.3110","-7.5999","90","CAP CER 0.1UF 25V X7R 0603"
